command,intent
how many commits are in branch X,number_of_commits_in_branch
show me the report for the day,activity_report
give me a report from the last day?,activity_report
what were the main events from the last day,activity_report
What happened in the last 24 hours,activity_report
show me the linked commits to issue 84161,issue_related_commits
in which commits was issue 964?,issue_related_commits
list commits that mention issue 84161,issue_related_commits
what commits are related to 3234?,issue_related_commits
what commits were mentioned issue 74?,issue_related_commits
issue 13 related commits?,issue_related_commits
which commits in the repository are linked to issue 84161?,issue_related_commits
commits that mentioned issue 6744,issue_related_commits
give me a the commits linked to issue 564,issue_related_commits
number of stars,number_of_stars
stars count?,number_of_stars
number of stars?,number_of_stars
how many stars in total does the repository have?,number_of_stars
provide me with the total number of stars,number_of_stars
let me know how many stars are in the repository,number_of_stars
what is the number of stars that we have?,number_of_stars
total number of stars?,number_of_stars
in this repository what is the total count of stars,number_of_stars
count the repository stars,number_of_stars
I want to know the number of stars in the repository,number_of_stars
stars count,number_of_stars
In this repository, how many stars do I have?,number_of_stars
