command
I want a list of repository releases,list_releases
assignee of issue 24,issue_assignees
Who is assigned to issue 64,issue_assignees
developers with most open issues,developers_with_most_open_issues
give me a list of developers with the most open issues,developers_with_most_open_issues
who last changed main.py,last_developer_to_touch_a_file
last developer to touch server.rb,last_developer_to_touch_a_file
pr 347 assignees,pr_assignees
Who should fix pull request 1,pr_assignees
list the languages,list_languages
technologies and languages used in the repo,list_languages
how many commits are in the documentation branch,number_of_commits_in_branch
number of commits in the branch the-branch-name,number_of_commits_in_branch
count the number of commits in branch TheBranch,number_of_commits_in_branch
number of contributers on this repository,number_of_collaborators
number of contributers,number_of_collaborators
what was the message of the first commit in branch master,intial_commit_in_branch
initial commmit in branch,intial_commit_in_branch
when was the first commit made in the master branch,intial_commit_in_branch
How many commits has Khaled made,contributions_by_developer
How much did John contribute to the respository ?,contributions_by_developer
what are the commits linked to pr 6744,commits_in_pr
show me pull request 84161 related commits,commits_in_pr
what are the commits in pull request 964,commits_in_pr
longest file size,largest_files
largest file in size,largest_files
tell me what the last pushed commit is,latest_commit
the most recent commit,latest_commit
the latest commit,latest_commit
when was the last commit made in ths branch,latest_commit_in_branch
last in commit in branch XYZ,latest_commit_in_branch
what is the latest release for the repository,latest_release
last release,latest_release
newest release,latest_release
what is the longest open pull request,longest_open_pr
pull request that has been open for a long time,longest_open_pr
which pr has remained unmerged the longest period of time,longest_open_pr
what is the longest open issue,longest_open_issue
which issue has been left unresolved for the most amount of time ?,longest_open_issue
which issue has been open for the longest time,longest_open_issue
Give me the daily report,activity_report
progress report,activity_report
What were the recent events in the repository,activity_report
can you tell me the date 2 was opened ?,issue_creation_date
show me the creation date for issue 3,issue_creation_date
creation date issue 860,issue_creation_date
What was the date when pull request with number 432 was created,pr_creation_date
show me the creation date for pr 3,pr_creation_date
At what time was the pull request 2315 opened,pr_creation_date
who has the first commit,intial_commit
who commited first to the repo,intial_commit
who has the initial commit in the repository,intial_commit
can you tell me what the intial commit was,intial_commit
count pulls,number_of_prs
count open pull requests,number_of_prs
number of pull requests,number_of_prs
bug report,number_of_issues
"For this repo, show me the the number of open issues",number_of_issues
Give me the bugs report,number_of_issues
please provide a report about closed issues in the repo,number_of_issues
what files were changed in pr 6744,files_changed_by_pr
list me the files affected by pr number 4,files_changed_by_pr
file diff for PR 89,files_changed_by_pr
who are the top 10 contributors,top_contributors
list the top contributors,top_contributors
who are the developers with the most contributions to this repository,top_contributors
who is the top contributor,top_contributors
list recent prs,most_recent_prs
when was the most recent PR?,most_recent_prs
what are the most recent pull requests,most_recent_prs
show me the latest prs,most_recent_prs
latest opened issues,most_recent_issues
show me the newest issues in the repository,most_recent_issues
latest issues,most_recent_issues
list the recent open issues,most_recent_issues
When did pr 214 finally close,pr_closing_date
when was pr 24 closed,pr_closing_date
when did we merge pr 3907,pr_closing_date
closing date pull request 860,pr_closing_date
show me who opned issue 1235,issue_creator
did this person open 78,issue_creator
give me a the developer name who created issue 564,issue_creator
who created issue 9521,issue_creator
show me the developers who commented on pr 888,pr_contributors
give me names of all the commenters on pr 6681,pr_contributors
show me who contributed to pr 74,pr_contributors
who are the contributors to pr 964,pr_contributors
show me who closed pr 74,pr_closer
give me a the developer name who closed pull request 564,pr_closer
pr 774 merger,pr_closer
give me the user that merged pr 888,pr_closer
issue 546 close date,issue_closing_date
What was the date when issue 432 was resolved,issue_closing_date
What was the date of closing issue 4,issue_closing_date
show me the closing date for issue 3,issue_closing_date
show me pull request 84161 creator,pr_creator
who created pull request 9521,pr_creator
who opened pr 9521,pr_creator
creator of pull request 3234,pr_creator
who opened pr 6744,pr_creator
issue 13 closer,issue_closer
closer of issue 3234,issue_closer
who closed issue 9521,issue_closer
who closed issue 6744,issue_closer
how many people are watching the repository?,number_of_watchers
I want to know the number of people watching the the repository,number_of_watchers
watchers count?,number_of_watchers
how many watchers,number_of_watchers
how many watchers for the repository?,number_of_watchers
let me know which branch is the main one?,default_branch
what is the base branch in the repository,default_branch
Which branch is considered as default,default_branch
main branch?,default_branch
give me the main programming language,main_programming_language
I'd like to know the most used programming language,main_programming_language
let me know which programming language is most used,main_programming_language
what programming language is most used?,main_programming_language
most used programming language,main_programming_language
I'd like to know the repository owner,repository_owner
which user owns this repository,repository_owner
To whom does this repo belong?,repository_owner
Who owns the repository?,repository_owner
what is the license for the repository ?,repository_license
license for the repository?,repository_license
give me the license for the repository,repository_license
what is the legal licences,repository_license
repository license,repository_license
who are the contributors to issue 964,issue_contributors
who are the people who commented on issue 9521,issue_contributors
show me who contributed to issue 74,issue_contributors
who worked on 33,issue_contributors
who touched 98,issue_contributors
I'd like to know the repository topics,repository_topics
what topics are there ?,repository_topics
give me the topics for this repository,repository_topics
To which topics does the repository belong,repository_topics
I would like to know the topics in the repository we have,repository_topics
topics related to the repository?,repository_topics
