command,intent
Who is assigned to issue 64,issue_assignees
Who are the assignees on issue 1,issue_assignees
developers with most open issues,developers_with_most_open_issues
I want to have a list of developers with open issues,developers_with_most_open_issues
which developers are overloaded with open issues,developers_with_most_open_issues
what are the releases in this repository,list_releases
give me a list of the releases in the repository,list_releases
who last changed main.py,last_developer_to_touch_a_file
last developer to touch server.rb,last_developer_to_touch_a_file
who was the last developer to change file index.js,last_developer_to_touch_a_file
count the number of commits in branch TheBranch,number_of_commits_in_branch
commits in branch xywz,number_of_commits_in_branch
how many commits are in the branch rel-1.3.0?,number_of_commits_in_branch
pr 347 assignees,pr_assignees
Who is assigned to pr 64,pr_assignees
Who are the assignees on pr 1,pr_assignees
How many developers have commited to this repo,number_of_collaborators
how many contributors does this repository have,number_of_collaborators
How many contributers ?,number_of_collaborators
technologies and languages used in the repo,list_languages
list me the language of this repostiory,list_languages
What are the technologies that are used in this repository ?,list_languages
How many contributions does Makram have,contributions_by_developer
How many commits does dev have,contributions_by_developer
Did Ben make alot of contributions to this repository ?,contributions_by_developer
who has the first commit to the add-ons branch,intial_commit_in_branch
the inital commit for branch master,intial_commit_in_branch
who has the first commit in branch xxyx,intial_commit_in_branch
pr 13 related commits,commits_in_pr
What are the commits for pr 6744,commits_in_pr
what are the commits linked to pr 6744,commits_in_pr
show me commits linked to pr 74,commits_in_pr
longest file size,largest_files
largest file in size,largest_files
Bigest file in the repository,largest_files
newest release,latest_release
latest release,latest_release
what is the latest release for the repository,latest_release
last release,latest_release
the latest commit,latest_commit
who made the last commit,latest_commit
tell me what the last pushed commit is,latest_commit
who commited last in the feature_2 branch,latest_commit_in_branch
when was the last commit made in ths branch,latest_commit_in_branch
what is the last commit in the clean_tool branch,latest_commit_in_branch
last in commit in branch XYZ,latest_commit_in_branch
Which pull requet has stayed open the longest,longest_open_pr
pull request that has been open for a long time,longest_open_pr
which pull request was open for the longest amount of time,longest_open_pr
which pr has remained unmerged the longest period of time,longest_open_pr
longest open issue,longest_open_issue
which issue has been left unresolved for the most amount of time ?,longest_open_issue
what is the longest open issue,longest_open_issue
which issue has been open the longest,longest_open_issue
daily report,activity_report
progress report,activity_report
Give me the daily report,activity_report
What were the recent events in the repository,activity_report
can you tell me the date 2 was opened ?,issue_creation_date
show me the creation date for issue 3,issue_creation_date
At what time was issue 2315 opened,issue_creation_date
creation date issue 860,issue_creation_date
what is the first commit in the repository,intial_commit
the inital commit,intial_commit
who authored the 1st commit,intial_commit
what is the first commit ever,intial_commit
number of pull requests,number_of_prs
How many prs are currently open,number_of_prs
count pulls,number_of_prs
For this repo, show me the the number of open prs,number_of_prs
what is the number of closed pull requests,number_of_prs
At what time was the pull request 2315 opened,pr_creation_date
creation date of pr 860,pr_creation_date
What was the date when pull request with number 432 was created,pr_creation_date
When did pull request 214 open,pr_creation_date
number of closed issues,number_of_issues
How many bugs are currently open,number_of_issues
count open issues,number_of_issues
Give me the total number of issues in the repository,number_of_issues
bug report,number_of_issues
what are the newest prs,most_recent_prs
newest prs,most_recent_prs
what are the most recent pull requests,most_recent_prs
show me the latest prs,most_recent_prs
when was the most recent PR?,most_recent_prs
file diff for PR 89,files_changed_by_pr
list the changed files in pull request 964,files_changed_by_pr
what files were changed in pr 6744,files_changed_by_pr
file changes by pull request 74,files_changed_by_pr
list me the files affected by pr number 4,files_changed_by_pr
what are the most recent issues,most_recent_issues
show me the most recent issues,most_recent_issues
latest opened issues,most_recent_issues
what are the newest issues,most_recent_issues
latest issues,most_recent_issues
who are the developers with the most contributions to this repository,top_contributors
which developer contributed the most to the repository,top_contributors
who contributed the most to this repository,top_contributors
who has the most contributions in this repostiory,top_contributors
who are the top 10 contributors,top_contributors
when did we merge pr 3907,pr_closing_date
when did we close pr 4783,pr_closing_date
When did pr 214 finally close,pr_closing_date
closing date pull request 860,pr_closing_date
What was the date of closing pr 4,pr_closing_date
When was issue 1109 closed,issue_closing_date
show me the closing date for issue 3,issue_closing_date
What was the date of closing issue 4,issue_closing_date
closing date issue 860,issue_closing_date
When did issue 214 finally close,issue_closing_date
when was issue 674 resolved,issue_closing_date
give me a the developer name who created issue 564,issue_creator
who created issue 9521,issue_creator
show me who opned issue 1235,issue_creator
show me issue 84161 creator,issue_creator
show me who created issue 74,issue_creator
show me who contributed to pr 74,pr_contributors
who are the contributors to pr 964,pr_contributors
show me the developers who commented on pr 888,pr_contributors
who are the people who commented on pr 9521,pr_contributors
list all the developers who commented on pr 3,pr_contributors
give me a list of developers who contributed to pr 564,pr_contributors
pr 774 merger,pr_closer
give me the user that merged pr 888,pr_closer
show me who closed pr 74,pr_closer
who merged pr 3234,pr_closer
merger of pr 9521,pr_closer
who created pull request 6744,pr_creator
who opened pr 6744,pr_creator
pr 774 opener,pr_creator
who opened pr 9521,pr_creator
creator of pull request 3234,pr_creator
show me pull request 84161 creator,pr_creator
give me a the developer name who closed issue 564,issue_closer
resolver of issue 3234,issue_closer
issue 774 resolver,issue_closer
who closed issue 9521,issue_closer
who closed issue 6744,issue_closer
issue 13 closer,issue_closer
watchers count,number_of_watchers
how many watchers in total does the repository have?,number_of_watchers
count the repository watchers,number_of_watchers
how many watchers do we have?,number_of_watchers
how many watchers,number_of_watchers
I want to know the number of people watching the the repository,number_of_watchers
Which branch is considered to be the base one?,default_branch
what is the main branch in this repository,default_branch
give me the main branch in the repository?,default_branch
main branch?,default_branch
let me know which branch is the main one?,default_branch
what is the default branch here?,default_branch
what is the main language of this repository,main_programming_language
give me the main programming language,main_programming_language
let me know which programming language is most used,main_programming_language
Tell me the dominant programming language,main_programming_language
what programming language is most used?,main_programming_language
what is the main language in the repository?,main_programming_language
Who is the repository owner,repository_owner
I'd like to know the repository owner,repository_owner
To whom does this repo belong?,repository_owner
Who owns the repository?,repository_owner
what is the name of the person who owns the repository,repository_owner
what is the name of the repository owner?,repository_owner
give me the license for the repository,repository_license
what licences do I have in the repository?,repository_license
I want to know the licences in our repository,repository_license
can I know the licences of the repository,repository_license
what is the legal licences,repository_license
what is the legal license in this repository?,repository_license
I would like to know the repository license,repository_license
show me issue 84161 contributors,issue_contributors
show me who helped on issue 1235,issue_contributors
issue 13 contributors,issue_contributors
who touched 98,issue_contributors
give me names of all the contributors to issue 123,issue_contributors
who are the contributors to issue 964,issue_contributors
give me the topics for this repository,repository_topics
repository topics,repository_topics
what topics are there ?,repository_topics
what are the repository topics,repository_topics
I would like to know the topics in the repository we have,repository_topics
can you give me the topics related to this repository,repository_topics
what topics are related to our repository?,repository_topics
topics for this repository?,repository_topics
give me the repository creation date,repository_creation_date
what was the date of creation for the repository?,repository_creation_date
project creation date,repository_creation_date
when did this repository start,repository_creation_date
repository creation date,repository_creation_date
When did I start the project?,repository_creation_date
developer who created constant.txt,file_creator
I want to know who created file map.json,file_creator
for file map.json who created it?,file_creator
who first added this file domain.yml ?,file_creator
who created file pyproject.toml in repository,file_creator
who created map.json?,file_creator
who created this file index.js,file_creator
who was the creator of this file server.rb?,file_creator
I would like to know who first created file tf_env_collect.sh?,file_creator
give me a list of all the commits where issue 1235 was mentioned,issue_related_commits
list me the commits that mentioned issue 888,issue_related_commits
give me a the commits linked to issue 564,issue_related_commits
show me the related commits to issue 84161,issue_related_commits
list commits that mention issue 84161,issue_related_commits
give me the commits that mentioned issue 888?,issue_related_commits
